2026-07-31 22:09:38.727 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 22:09:38.727 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 22:09:39.239 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Starting...
2026-07-31 22:09:39.288 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-6 - Added connection org.postgresql.jdbc.PgConnection@52285f58
2026-07-31 22:09:39.288 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Start completed.
2026-07-31 22:09:40.182 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 1.526 seconds (process running for 1042.408)
2026-07-31 22:09:44.842 [http-nio-8080-exec-6] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 14 in org: 1
2026-07-31 22:09:53.427 [http-nio-8080-exec-7] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 13 in org: 1
2026-07-31 22:10:00.592 [http-nio-8080-exec-10] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 15 in org: 1
2026-07-31 22:10:06.065 [http-nio-8080-exec-1] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 16 in org: 1
2026-07-31 22:11:29.474 [http-nio-8080-exec-4] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 17 in org: 1
2026-07-31 22:11:35.227 [http-nio-8080-exec-5] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 18 in org: 1
2026-07-31 22:11:40.417 [http-nio-8080-exec-7] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 17 in org: 1
2026-07-31 22:14:40.367 [http-nio-8080-exec-9] INFO  c.e.t.c.UserOrganizationController - Fetching user with ID: 17 in org: 1
2026-07-31 22:15:14.873 [Thread-20] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Shutdown initiated...
2026-07-31 22:15:14.876 [Thread-20] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Shutdown completed.
